       dd/mm/yy     HR:MIN:SEC    dwnl[Mbits]     upl[Mbits]       ping[ms]
     27/01/2021       22:40:32        119.491        167.377          3.161
     27/01/2021       22:40:50        116.953        162.688          3.233
     27/01/2021       22:41:08        117.356        167.941          3.221
     27/01/2021       22:41:27        112.248        166.978          3.515
     27/01/2021       22:41:45         96.536        138.062          3.395
     27/01/2021       22:42:05         119.67        167.147          4.069
     27/01/2021       22:42:23        118.978        173.359          3.127
     27/01/2021       22:42:41        121.289        163.263          3.136
     27/01/2021       22:43:00        121.324        165.447          3.094
     27/01/2021       22:43:18          122.9        182.757          2.947
     27/01/2021       22:43:36        124.841        181.383          2.892
     27/01/2021       22:43:54        119.936        174.835          3.453
     27/01/2021       22:44:12        120.858         114.15          3.133
     27/01/2021       22:44:33        108.716        145.956          3.355
     27/01/2021       22:44:52        122.314        153.764            3.1
     27/01/2021       22:45:11        120.781        168.185          3.007
     27/01/2021       22:45:29        122.116        163.557          3.045
     27/01/2021       22:45:48        123.637        168.667          3.165
     27/01/2021       22:46:06        117.265        166.663          3.283
     27/01/2021       22:46:24        121.725        171.606          2.877
     27/01/2021       22:46:43         124.34        162.697           2.96
     27/01/2021       22:47:01        118.553        162.081          3.341
     27/01/2021       22:47:20        122.601        173.693          3.288
     27/01/2021       22:47:38        118.745         161.61          3.767
     27/01/2021       22:47:57        111.213        176.049          3.288
     27/01/2021       22:48:15        122.464        163.759          2.987
     27/01/2021       22:48:33        115.031        160.876          3.251
     27/01/2021       22:48:52        121.393        168.095          3.183
     27/01/2021       22:49:10        116.747        166.404          3.387
     27/01/2021       22:49:28        120.459        174.349          3.193
     27/01/2021       22:49:46         116.01        161.703          4.538
     27/01/2021       22:50:05         120.79        172.298          3.165
     27/01/2021       22:50:23        122.693        164.498          3.166
     27/01/2021       22:50:41        125.146        169.356          2.894
     27/01/2021       22:50:59        120.714        168.252          2.864
     27/01/2021       22:51:19        117.729        164.938          3.114
     27/01/2021       22:51:37        121.867        166.276          3.263
     27/01/2021       22:51:56        121.263        164.155          2.856
     27/01/2021       22:52:14        118.062        161.414          3.486
     27/01/2021       22:52:33        121.527        171.641          3.101
     27/01/2021       22:52:51        122.668         161.58          3.014
     27/01/2021       22:53:09        119.357        166.699          3.117
     27/01/2021       22:53:28        117.985         162.52          3.306
     27/01/2021       22:53:46        117.666        162.615           3.64
     27/01/2021       22:54:05        123.058        171.991          3.209
     27/01/2021       22:54:23        118.479        167.099          2.953
     27/01/2021       22:54:41        113.724        160.785          3.413
     27/01/2021       22:55:00        117.269        162.834          3.201
     27/01/2021       22:55:18        117.363         164.34          3.958
     27/01/2021       22:55:37        118.013        172.855           3.06
     27/01/2021       22:55:55        119.709         166.08          3.033
     27/01/2021       22:56:13        119.857        166.529          3.037
     27/01/2021       22:56:32        114.471        152.221          3.259
     27/01/2021       22:56:51         119.17        164.308          3.575
     27/01/2021       22:57:09         122.27         166.39          3.209
     27/01/2021       22:57:28        117.411        162.586          3.261
     27/01/2021       22:57:46        122.143        166.472          2.966
     27/01/2021       22:58:04        117.318        164.536          3.211
     27/01/2021       22:58:23        123.822        166.925          3.015
     27/01/2021       22:58:41        120.541        171.536          3.192
     27/01/2021       22:58:59        119.766         164.66          3.372
     27/01/2021       22:59:18        123.479        165.342          3.202
     27/01/2021       22:59:36        122.238        166.188           2.96
     27/01/2021       22:59:54        120.964        163.003          3.097
     27/01/2021       23:00:13        123.244        160.227          3.139
     27/01/2021       23:00:32        113.355        158.115            3.9
     27/01/2021       23:00:50        121.615        165.791          3.212
     27/01/2021       23:01:09        114.606        165.759          3.225
     27/01/2021       23:01:27        119.871        157.644          2.976
     27/01/2021       23:01:46        121.218         161.77          2.839
     27/01/2021       23:02:04        117.889        154.527          3.206
     27/01/2021       23:02:23        119.174        147.838          2.909
     27/01/2021       23:02:42         98.203        159.954          3.435
     27/01/2021       23:03:02        121.701        161.147          3.032
     27/01/2021       23:03:20        117.538        160.501          3.541
     27/01/2021       23:03:39        120.104        160.085           2.87
     27/01/2021       23:03:57        113.103        158.734          3.199
     27/01/2021       23:04:16        121.503        155.215          2.844
     27/01/2021       23:04:35        115.089        157.844          3.347
     27/01/2021       23:04:54        122.778        156.987          3.159
     27/01/2021       23:05:13        120.263        161.145          2.965
     27/01/2021       23:05:31         121.72        158.957          3.902
     27/01/2021       23:05:50        115.981        156.105          3.389
     27/01/2021       23:06:09        122.637        159.299          3.201
     27/01/2021       23:06:27        120.222        159.708          2.994
     27/01/2021       23:06:46        122.334        160.163          3.097
     27/01/2021       23:07:05         113.96        155.952          3.286
     27/01/2021       23:07:23        117.948         159.86          3.298
     27/01/2021       23:07:42        118.235        166.235          3.874
     27/01/2021       23:08:01        114.984        158.888          3.418
     27/01/2021       23:08:19         123.75        160.669          3.508
     27/01/2021       23:08:38        121.357        163.824           3.28
     27/01/2021       23:08:56        122.959        164.025          3.151
     27/01/2021       23:09:15        117.009        159.811          3.214
     27/01/2021       23:09:34        123.258        164.621          2.935
     27/01/2021       23:09:53         121.89        160.005          2.933
     27/01/2021       23:10:11        119.394        164.038          3.511
     27/01/2021       23:10:30        123.202        162.363          3.116
     27/01/2021       23:10:48        121.754        162.059          2.908
     27/01/2021       23:11:07        122.434        164.121          3.079
     27/01/2021       23:11:25        109.337        158.262           3.34
     27/01/2021       23:11:44        105.561        136.972          2.896
     27/01/2021       23:12:04        121.456        164.743          2.945
     27/01/2021       23:12:23        121.619        165.123          2.981
     27/01/2021       23:12:41        121.337        161.996          3.192
     27/01/2021       23:13:00        122.311        164.188          3.893
     27/01/2021       23:13:18        121.333        164.407          2.812
     27/01/2021       23:13:36        121.462        165.158          3.138
     27/01/2021       23:13:55        113.928        162.742          3.166
     27/01/2021       23:14:13        123.199        168.641          3.134
     27/01/2021       23:14:32        123.189        163.218          3.358
     27/01/2021       23:14:50        121.584        169.279           3.26
     27/01/2021       23:15:08        116.117        158.302          3.197
     27/01/2021       23:15:27        115.731        162.785          3.194
     27/01/2021       23:15:45        121.941        166.514          3.172
     27/01/2021       23:16:04        114.544        161.567          3.588
     27/01/2021       23:16:22        111.296        164.178          3.389
     27/01/2021       23:16:41        119.622        164.856          3.263
     27/01/2021       23:16:59        121.169        166.709          2.851
     27/01/2021       23:17:18        118.551        168.926          3.391
     27/01/2021       23:17:36        121.124        164.458          4.718
     27/01/2021       23:17:54        116.583        163.084          3.179
     27/01/2021       23:18:13        122.696        164.177          2.932
     27/01/2021       23:18:31        117.782        159.315          3.469
     27/01/2021       23:18:50        121.889        170.314          2.912
     27/01/2021       23:19:08        122.155        165.521          2.997
     27/01/2021       23:19:26        122.498        166.265          2.942
     27/01/2021       23:19:45        116.323        156.921          3.186
     27/01/2021       23:20:04        109.624        161.434          3.244
     27/01/2021       23:20:22        118.553        175.112          3.363
     27/01/2021       23:20:40        122.228        167.053          3.482
     27/01/2021       23:20:58        123.601        162.283          3.001
     27/01/2021       23:21:18         124.13        164.155          2.931
     27/01/2021       23:21:37        121.853        166.965          3.035
     27/01/2021       23:21:55        120.716        164.995          3.062
     27/01/2021       23:22:14        120.755        172.163          2.877
     27/01/2021       23:22:32        114.474        162.164          3.866
     27/01/2021       23:22:51        120.476        170.813          3.129
     27/01/2021       23:23:09        119.044        162.156           3.46
     27/01/2021       23:23:27        116.913        159.535          3.089
     27/01/2021       23:23:46        121.361        171.932          3.241
     27/01/2021       23:24:04        121.545         165.62          4.383
     27/01/2021       23:24:23        122.943        169.716          3.141
     27/01/2021       23:24:41        121.518        164.393          2.974
     27/01/2021       23:24:59        118.928        164.732          2.833
     27/01/2021       23:25:18        117.415        161.788          3.172
     27/01/2021       23:25:36         119.32        170.037          3.699
     27/01/2021       23:25:54        117.692        170.909          3.298
     27/01/2021       23:26:13        121.867        166.308          3.114
     27/01/2021       23:26:31        121.803        174.458          3.073
     27/01/2021       23:26:49         118.44         161.19           3.39
     27/01/2021       23:27:07        123.103        165.087           3.12
     27/01/2021       23:27:26         121.85        163.204          3.524
     27/01/2021       23:27:44        120.454        163.887          3.415
     27/01/2021       23:28:03        119.874        173.171          2.876
     27/01/2021       23:28:21        117.563        160.868           3.27
     27/01/2021       23:28:39        122.496        169.456          3.091
     27/01/2021       23:28:58        121.668        168.245          3.129
     27/01/2021       23:29:16        121.154        169.916          2.929
     27/01/2021       23:29:34        118.291        167.621          3.306
     27/01/2021       23:29:52        115.936        163.477          3.934
     27/01/2021       23:30:11        121.003         166.65          2.914
     27/01/2021       23:30:29         120.62        166.353          2.912
     27/01/2021       23:30:47        122.672        169.212           2.95
     27/01/2021       23:31:06        121.751        167.948          2.915
     27/01/2021       23:31:24        119.528        168.032          2.976
     27/01/2021       23:31:42        124.847        180.642          3.369
     27/01/2021       23:32:00         84.024        180.833          3.146
     27/01/2021       23:32:18        123.517         178.72          2.931
     27/01/2021       23:32:36         119.77        118.095          3.689
     27/01/2021       23:32:57        115.093        152.821          3.242
     27/01/2021       23:33:16        116.549        129.907          3.392
     27/01/2021       23:33:36        122.491        169.203          3.171
     27/01/2021       23:33:54        119.391         166.11          3.189
     27/01/2021       23:34:13        120.192        173.807           3.13
     27/01/2021       23:34:31         117.23        164.896          3.929
     27/01/2021       23:34:49        117.027        166.407          2.905
     27/01/2021       23:35:07        118.154        161.757           3.21
     27/01/2021       23:35:26        118.494        164.988          3.122
     27/01/2021       23:35:44        120.153        165.825           3.19
     27/01/2021       23:36:03        115.234         160.16          4.174
     27/01/2021       23:36:21        121.217        165.693          2.916
     27/01/2021       23:36:40         121.05        166.463          2.988
     27/01/2021       23:36:58        118.392        165.642          3.057
     27/01/2021       23:37:17        116.289         173.56          3.151
     27/01/2021       23:37:35        116.202        159.734          4.949
     27/01/2021       23:37:53        122.219        160.487          3.257
     27/01/2021       23:38:12        122.719        165.096           2.94
     27/01/2021       23:38:30        121.493        161.047          3.111
     27/01/2021       23:38:49        122.067         169.23          3.375
     27/01/2021       23:39:07        118.418         160.75           3.35
     27/01/2021       23:39:26        112.441        162.324          3.421
     27/01/2021       23:39:44        118.115        167.059          3.125
